PKID,MINISTRY_CODE,MINISTRY_NAME,WK_UNIT_CODE,WK_UNIT_NAME,RESP_RATE,GRP_CTGRY_CODE,GRP_CTGRY_NAME,GRP_CODE,GRP_NAME,CHRT_COUNT,QCOMP_COUNT,SRV_SECT_CODE,SRV_SECT_NAME,SRV_QU_GRP_CODE,SRV_QU_GRP_NAME,QU_NUM,QU_TXT,SORT_ORDER,RESP_CODE,RESP_TXT,RESP_COUNT,RESP_COUNT_UNSUPPRESSED,RESP_PERCENT,QU_COUNT,SCALE_AVG
289762,6,Ministry of Pink,0,All Units,0.47744511,0,Overall,0,Overall,2505,1196,1,Respondent Profile,1,profile,DIRECTREPORTS,Has Direct Reports,2,2,No,907,907,0.773890785,1172,
289766,16,Ministry of Lime,0,All Units,0.579710145,0,Overall,0,Overall,690,400,1,Respondent Profile,1,profile,DIRECTREPORTS,Has Direct Reports,2,2,No,273,273,0.687657431,397,
289767,5,Ministry of Yellow,0,All Units,0.798561151,0,Overall,0,Overall,278,222,1,Respondent Profile,1,profile,DIRECTREPORTS,Has Direct Reports,2,2,No,155,155,0.711009174,218,
289768,8,Ministry of Orange,0,All Units,0.647619048,0,Overall,0,Overall,210,136,1,Respondent Profile,1,profile,DIRECTREPORTS,Has Direct Reports,2,2,No,98,98,0.720588235,136,
289771,1,Ministry of Panic,0,All Units,0.666666667,0,Overall,0,Overall,150,100,1,Respondent Profile,1,profile,DIRECTREPORTS,Has Direct Reports,2,2,No,71,71,0.717171717,99,
289772,24,Ministry of Scarlet,0,All Units,0.56440678,0,Overall,0,Overall,1180,666,1,Respondent Profile,1,profile,DIRECTREPORTS,Has Direct Reports,2,2,No,528,528,0.798789713,661,
289774,20,Ministry of Green,0,All Units,0.612903226,0,Overall,0,Overall,31,19,1,Respondent Profile,1,profile,DIRECTREPORTS,Has Direct Reports,2,2,No,12,12,0.631578947,19,
289780,26,Ministry of White,0,All Units,0.53808948,0,Overall,0,Overall,827,445,1,Respondent Profile,1,profile,DIRECTREPORTS,Has Direct Reports,2,2,No,301,301,0.679458239,443,
289781,9,Ministry of Cream,0,All Units,0.746478873,0,Overall,0,Overall,71,53,1,Respondent Profile,1,profile,DIRECTREPORTS,Has Direct Reports,2,2,No,32,32,0.603773585,53,
289783,11,Ministry of Beige,0,All Units,0.548387097,0,Overall,0,Overall,496,272,1,Respondent Profile,1,profile,DIRECTREPORTS,Has Direct Reports,2,2,No,181,181,0.67037037,270,
289785,10,Ministry of Snow,0,All Units,0.589928058,0,Overall,0,Overall,139,82,1,Respondent Profile,1,profile,DIRECTREPORTS,Has Direct Reports,2,2,No,50,50,0.617283951,81,
